name,year,paper title,co-authors,gender,Morrocan affiliation 
Yoshua Bengio,2014,Identifying and attacking the saddle point problem in high-dimensional non-convex optimization ,"Yann N. Dauphin, Razvan Pascanu, Caglar Gulcehre, Kyunghyun Cho, Surya 
Ganguli",male,no
Yoshua Bengio,2014,How transferable are features in deep neural networks?,"Jason Yosinski, Jeff Clune,Hod Lipson",male,no
Yoshua Bengio,2013,Multi-Prediction Deep Boltzmann Machines,"Ian Goodfellow, Mehdi Mirza, Aaron Courville",male,no
Yoshua Bengio,2013,Generalized Denoising Auto-Encoders as Generative Models,"Li Yao, Guillaume Alain, Pascal Vincent",male,no
Yoshua Bengio,2013,Stochastic Ratio Matching of RBMs for Sparse High-Dimensional Inputs ,Yann Dauphin,male,no
Yoshua Bengio,2011, Shallow vs. Deep Sum-Product Networks ,"Olivier Delalleau,",male,no
Yoshua Bengio,2011,On Tracking The Partition Function ,"Guillaume Desjardins,Aaron C. Courville",male,no
Yoshua Bengio,2011,Algorithms for Hyper-Parameter Optimization ,"James Bergstra, Rémi Bardenet, Yoshua Bengio, Balázs Kégl",male,no
Yoshua Bengio,2011,The Manifold Tangent Classifier,"Salah Rifai, Yann N. Dauphin, Pascal Vincent, Xavier Muller",male,no
Yoshua Bengio,2009,"Slow, Decorrelated Features for Pretraining Complex Cell-like Networks ", James Bergstra,male,no
Yoshua Bengio,2009,An Infinite Factor Model Hierarchy Via a Noisy-Or Mechanism ,"Douglas Eck, Aaron C. Courville",male,no
Yoshua Bengio,2007,Topmoumoute Online Natural Gradient Algorithm,"Nicolas Roux, Pierre-antoine Manzagol,",male,no
Yoshua Bengio,2007,Augmented Functional Time Series Representation and Forecasting with Gaussian Processes ,"Nicolas Chapados, ",male,no
Yoshua Bengio,2007,Learning the 2-D Topology of Images,"Nicolas Roux, Pascal Lamblin, Marc Joliveau, Balázs Kégl",male,no
Yoshua Bengio,2006,Greedy Layer-Wise Training of Deep Networks ,"Pascal Lamblin, Dan Popovici, Hugo Larochelle",male,no
